"image_id","用途","主要角色","参考图","画面描述","正向提示词要点","负向提示词要点","输出建议"
"char_298_felt_final","角色定稿","食尘短绒","04_图片/references/298_食尘短绒.png","把食尘短绒生成针毡毛绒定稿图，米黄色蓬松绒团围绕黑色面部，大黄眼、橙色小腮点、多条细长深色昆虫腿和绒球脚端清楚","16:9 或角色单体透明/纯色背景；针毡毛绒定格动画风格；只参考原始精灵图；保持角色结构","不要重新设计角色；不要改颜色；不要人形化；不要减少腿部；不要文字字幕水印logo","character_finals/298_食尘短绒_felt_final.png"
"char_284_felt_final","角色定稿","铠甲虫","04_图片/references/284_铠甲虫.png","把铠甲虫生成针毡毛绒定稿图，深色金属感甲壳转为毛毡硬壳，红橙身体、巨大分叉角、前爪和小翅清楚","针毡毛绒定格动画风格；甲虫结构；外硬内怂表情；只参考原始精灵图","不要人形铠甲战士；不要丢失分叉角；不要改变身体比例；不要文字字幕水印logo","character_finals/284_铠甲虫_felt_final.png"
"char_319_felt_final","角色定稿","陨星虫","04_图片/references/319_陨星虫.png","把陨星虫生成针毡毛绒定稿图，深蓝紫身体、金色甲片、背部琥珀星石、橙色触角和小翅清楚","针毡毛绒定格动画风格；保留星石和金色甲片；只参考原始精灵图","不要丢背部星石；不要改成普通甲虫；不要文字字幕水印logo","character_finals/319_陨星虫_felt_final.png"
"char_007_felt_final","角色定稿","火神","04_图片/references/007_火神.png","把火神生成针毡毛绒定稿图，橙色火焰身体、黑黄弯角、小黑翼、火焰尾和利爪清楚，表情自信但不凶","针毡毛绒定格动画风格；火焰做成柔软毛毡火苗；可爱化但保持火神特征","不要真实灼烧；不要恐怖恶魔化；不要改成普通小龙；不要文字字幕水印logo","character_finals/007_火神_felt_final.png"
"char_372_felt_final","角色定稿","巨鼓象","04_图片/references/372_巨鼓象.png","把巨鼓象生成针毡毛绒定稿图，白色脸、红色腮点、象鼻、金色鼓身、红色弯管、巨大金色脚和机械鼓结构清楚","针毡毛绒定格动画风格；保留象和鼓的双重结构；表情无辜","不要变成普通轮胎；不要汽车化；不要丢象鼻；不要文字字幕水印logo","character_finals/372_巨鼓象_felt_final.png"
"char_092_felt_final","角色定稿","锤头鹳","04_图片/references/092_锤头鹳.png","把锤头鹳生成针毡毛绒定稿图，淡紫蓝身体、大黄色锤头喙、淡粉紫翅膀、长黄腿和黑色脚端清楚，表情轻松可靠","针毡毛绒定格动画风格；翼/水外援气质；可带小水花和柔风暗示","不要画成普通鹳鸟；不要丢锤头喙；不要人形化；不要文字字幕水印logo","character_finals/092_锤头鹳_felt_final.png"
"scene_001_first","火神压制虫队首帧","食尘短绒/铠甲虫/陨星虫/火神","04_图片/character_finals/298_食尘短绒_felt_final.png;04_图片/character_finals/284_铠甲虫_felt_final.png;04_图片/character_finals/319_陨星虫_felt_final.png;04_图片/character_finals/007_火神_felt_final.png","PVP 毛毡赛场，虫队三只精灵刚摆好阵型，火神在对面轻松举起小火苗，虫队露出紧张表情，热风还没完全吹到","16:9；首帧是火神热身动作开始；虫队完整同框；火苗温暖可爱；针毡毛绒风格","不要真实烧伤；不要血腥；不要文字字幕水印logo；不要可读 UI","first_frames/scene_001_first.png"
"scene_002_first","巨鼓象压制虫队首帧","食尘短绒/铠甲虫/陨星虫/巨鼓象","04_图片/character_finals/298_食尘短绒_felt_final.png;04_图片/character_finals/284_铠甲虫_felt_final.png;04_图片/character_finals/319_陨星虫_felt_final.png;04_图片/character_finals/372_巨鼓象_felt_final.png","PVP 赛场低机位，巨鼓象带着鼓身从侧面靠近，虫队刚从热风里恢复，三只一起转头惊讶","16:9；首帧是巨鼓象即将借过；地面轻微震动感；虫队完整同框","不要把巨鼓象画成轮胎或汽车；不要真实碾压；不要文字字幕水印logo","first_frames/scene_002_first.png"
"scene_003_first","虫队小会议首帧","食尘短绒/铠甲虫/陨星虫","04_图片/character_finals/298_食尘短绒_felt_final.png;04_图片/character_finals/284_铠甲虫_felt_final.png;04_图片/character_finals/319_陨星虫_felt_final.png","擂台边小毛毡会议角落，三只虫队精灵围着三个圆形站位垫，食尘短绒举起无文字图形卡片，眼睛发亮","16:9；温暖小会议；无文字图形卡片；三个圆形站位垫清楚","不要可读文字；不要 UI；不要新增无关角色；不要文字字幕水印logo","first_frames/scene_003_first.png"
"scene_004_first","锤头鹳登场首帧","食尘短绒/铠甲虫/陨星虫/锤头鹳","04_图片/character_finals/298_食尘短绒_felt_final.png;04_图片/character_finals/284_铠甲虫_felt_final.png;04_图片/character_finals/319_陨星虫_felt_final.png;04_图片/character_finals/092_锤头鹳_felt_final.png","锤头鹳从赛场入口轻快跳进来，翅膀半展开，脚边有小水花和柔风，虫队三只在旁边露出希望表情","16:9；锤头鹳可靠可爱；虫队期待；柔风和水花轻盈","不要把锤头鹳画成普通鸟；不要文字字幕水印logo；不要可读 UI","first_frames/scene_004_first.png"
